type,top,bottom,created_at,ob_bar,level,structure,quality_displacement,quality_large_bar,quality_fvg,quality_liquidity_sweep,quality_volume_expansion,quality,mitigated_at
SUPPLY,47990.0,46654.0,15,10,internal,BOS,False,True,False,True,True,3,4626
SUPPLY,47070.0,46110.0,28,26,internal,BOS,True,True,False,False,True,3,518
SUPPLY,42315.85,40917.66,46,40,internal,BOS,False,True,False,False,False,1,52
DEMAND,41740.53,40501.0,52,46,internal,CHoCH,False,True,False,True,True,3,120
SUPPLY,42786.7,41766.43,57,53,internal,CHoCH,False,True,False,True,True,3,64
DEMAND,42121.63,40564.89,64,58,internal,CHoCH,False,True,False,False,True,2,120
SUPPLY,44500.0,42871.01,76,75,internal,CHoCH,False,True,False,True,True,3,229
DEMAND,43347.42,41725.95,88,81,internal,CHoCH,False,True,False,True,True,3,105
SUPPLY,43800.0,43071.11,99,89,internal,CHoCH,False,False,False,True,True,2,225
DEMAND,41993.98,41548.0,117,113,internal,CHoCH,False,False,False,False,False,0,119
SUPPLY,43505.0,42805.0,119,118,internal,CHoCH,True,False,False,True,True,3,225
DEMAND,35501.96,34243.38,137,130,internal,CHoCH,False,True,False,False,False,1,140
SUPPLY,36251.5,35160.51,140,138,internal,CHoCH,False,True,False,False,True,2,143
DEMAND,34388.38,32917.17,143,141,internal,CHoCH,True,True,False,True,True,4,771
DEMAND,36496.62,35701.0,152,145,internal,BOS,False,False,False,False,False,0,324
SUPPLY,38919.98,37311.58,156,154,internal,CHoCH,False,True,False,True,True,3,207
DEMAND,37080.0,35507.01,167,156,internal,CHoCH,False,True,False,True,True,3,324
SUPPLY,38720.74,37816.21,180,173,internal,CHoCH,False,True,False,True,False,2,207
DEMAND,37951.07,36632.61,184,180,internal,CHoCH,False,True,False,True,True,3,202
SUPPLY,39265.2,38341.06,195,190,internal,CHoCH,False,True,False,True,True,3,207
DEMAND,36976.89,36250.0,205,201,internal,CHoCH,False,False,False,True,False,1,324
DEMAND,41854.81,40843.01,221,214,internal,BOS,False,True,False,False,False,1,287
DEMAND,43685.2,42666.0,243,232,internal,BOS,False,True,False,False,True,2,251
SUPPLY,45821.0,44341.07,250,244,internal,CHoCH,False,True,False,True,True,3,515
DEMAND,42180.04,41550.56,270,264,internal,CHoCH,False,False,False,True,False,1,286
SUPPLY,44751.4,43941.28,279,275,internal,CHoCH,False,False,False,True,True,2,513
SUPPLY,40444.32,40060.88,301,295,internal,BOS,False,False,False,False,False,0,351
