side,entry_idx,exit_idx,entry,exit,stop_loss,take_profit,pnl_pct,entry_ob_bar,entry_ob_quality,entry_ob_created_at,entry_ob_level,entry_ob_type,tp_is_structural,tp_ob_bar,tp_ob_quality,tp_ob_created_at,tp_ob_level,tp_ob_type,hold_bars,exit_reason
SHORT,335,344,39219.17,39479.8,40125.635357142855,35515.83,-0.6645474649259653,307,2,308,internal,SUPPLY,True,325,4,329,internal,DEMAND,9,TRAILING EXIT (50% RETRACE)
SHORT,359,372,44421.2,41449.94,46481.290357142854,38299.39,6.688833259794862,244,3,250,internal,SUPPLY,True,347,3,351,internal,DEMAND,13,ATR MOVE EXIT
LONG,673,683,39600.98,39450.13,38173.41464285715,42085.65,-0.3809249165046062,643,4,646,internal,DEMAND,True,663,3,665,internal,SUPPLY,10,KDJ RESET EXIT
SHORT,902,909,31767.0,30742.59,32279.321428571428,29495.0,3.2247615449995273,776,2,784,internal,SUPPLY,True,873,3,899,swing,DEMAND,7,ATR MOVE EXIT
SHORT,1050,1054,21300.62,21206.2,21976.998214285715,20239.87,0.4432734821803227,1029,2,1032,internal,SUPPLY,True,1037,1,1042,internal,DEMAND,4,TRAILING EXIT (50% RETRACE)
LONG,1158,1161,19473.68,19456.2,18585.228214285715,21189.26,-0.08976218157019918,1099,1,1102,internal,DEMAND,True,1131,2,1143,internal,SUPPLY,3,TRAILING EXIT (50% RETRACE)
SHORT,2624,2625,24743.04,25894.67,25406.51785714286,20208.36,-4.654359367321062,2487,3,2489,internal,SUPPLY,True,2606,1,2614,internal,DEMAND,1,HIT STOP LOSS
LONG,2859,2862,27488.93,27557.84,27002.035714285717,30099.37,0.25068272937506064,2747,3,2754,internal,DEMAND,True,2835,2,2840,internal,SUPPLY,3,KDJ RESET EXIT
SHORT,3196,3208,26475.3,26682.28,26956.287500000002,25050.0,-0.7817852866634167,3147,1,3151,internal,SUPPLY,True,3182,3,3190,internal,DEMAND,12,KDJ RESET EXIT
LONG,3859,3872,27638.52,27811.63,27028.36357142857,29257.0,0.6263359977307055,3845,2,3851,internal,DEMAND,True,3544,3,3550,internal,SUPPLY,13,TRAILING EXIT (50% RETRACE)
SHORT,3947,3952,29669.04,30145.04,30141.665,28418.0,-1.6043660327398526,3508,3,3514,internal,SUPPLY,True,3936,2,3939,internal,DEMAND,5,HIT STOP LOSS
LONG,4455,4462,43154.48,42660.0,41226.848928571424,46052.0,-1.1458370023228253,4306,2,4311,internal,DEMAND,True,4442,2,4449,internal,SUPPLY,7,KDJ RESET EXIT
SHORT,5800,5816,64210.6,62417.0,66038.7325,61398.18,2.7933082699741143,5664,1,5669,internal,SUPPLY,True,5787,2,5793,internal,DEMAND,16,ATR MOVE EXIT
LONG,5825,5830,59034.9,59258.0,57169.41928571429,63668.0,0.3779120486356351,5768,2,5772,internal,DEMAND,True,5664,1,5669,internal,SUPPLY,5,TRAILING EXIT (50% RETRACE)
LONG,6040,6054,61036.0,61878.66,58685.175357142856,65314.31,1.380595058653915,5949,1,5951,internal,DEMAND,True,6003,3,6028,swing,SUPPLY,14,KDJ RESET EXIT
SHORT,6109,6112,65638.74,66970.18,66916.24214285714,62818.0,-2.028436255784294,6003,3,6028,swing,SUPPLY,True,6099,2,6102,internal,DEMAND,3,KDJ RESET EXIT
LONG,6366,6370,92588.0,96627.99,89238.72642857143,98220.0,4.363405624919001,6317,2,6322,internal,DEMAND,True,6340,2,6346,internal,SUPPLY,4,ATR MOVE EXIT
SHORT,6537,6547,98519.98,95104.76,100432.76464285715,95509.09,3.4665252672605105,6511,2,6519,internal,SUPPLY,True,6527,3,6531,internal,DEMAND,10,ATR MOVE EXIT
LONG,6991,6999,80424.95,81738.97,77198.78357142858,85653.66,1.6338462131465472,6926,3,6935,internal,DEMAND,True,6973,0,6980,internal,SUPPLY,8,TRAILING EXIT (50% RETRACE)
LONG,7109,7119,82389.99,85280.87,80702.76714285715,87132.65,3.508775762686693,7035,3,7040,internal,DEMAND,True,7079,1,7083,internal,SUPPLY,10,ATR MOVE EXIT
LONG,7938,7948,117429.63,117570.07,115189.19321428573,123250.5,0.11959502895478961,7893,2,7902,internal,DEMAND,True,7926,3,7929,internal,SUPPLY,10,KDJ RESET EXIT
LONG,7964,7977,113666.68,116370.75,111364.68,118059.12,2.3789469350208936,7860,2,7864,internal,DEMAND,True,7947,2,7950,internal,SUPPLY,13,ATR MOVE EXIT
LONG,8188,8192,109172.2,109310.21,106689.07321428572,113163.21,0.12641496644751074,8035,3,8040,internal,DEMAND,True,8176,1,8182,internal,SUPPLY,4,KDJ RESET EXIT
LONG,8280,8290,110676.0,115792.84,107205.72357142858,122794.4,4.623260688857563,8186,2,8216,swing,DEMAND,True,8261,1,8266,internal,SUPPLY,10,ATR MOVE EXIT
